Year,GLOF_Region,River,D_NAME
1994,Sost,Hunza River ,Hunza Nagar
1994,Gupis,Gilgit,Ghizer
1999,Gupis,Gilgit,Ghizer
1999,Khalti,Gilgit,Ghizer
2000,Shimshal,Hunza River ,Hunza Nagar
2000,Hushe,Gilgit,Ghanche
2005,Sost,Hunza River ,Hunza Nagar
2007,Ghulkin,Hunza River ,Hunza Nagar
2007,Passu,Hunza River ,Hunza Nagar
2008,Ghulkin,Hunza River ,Hunza Nagar
2008,Ghulkin,Hunza River ,Hunza Nagar
2008,Ghulkin,Hunza River ,Hunza Nagar
2008,Ghulkin,Hunza River ,Hunza Nagar
2009,Ghulkin,Hunza River ,Hunza Nagar
2012,Gupis,Gilgit,Ghizer
2012,Sost,Hunza River ,Hunza Nagar
2010,Shimshal,Hunza River ,Hunza Nagar
2017,Khurdopin,Hunza River ,Hunza Nagar
