Date ,Tarbela,Kabul,Kalabagh,Chashma,Taunsa,Panjnad,Guddu,Sukkur,Kotri
2001/01/01,16700,5060,28957,21961,18303,2000,14065,10600,0
2001/01/02,16900,6210,41177,23553,15545,2000,13295,10580,0
2001/01/03,16900,6780,35085,17908,15542,2000,13497,9980,0
2001/01/04,17000,6030,28957,17845,15542,2000,15453,9680,0
2001/01/05,17900,6300,35085,16002,17294,2618,15345,9620,0
2001/01/06,14100,6400,33009,15366,17277,2000,12045,9372,0
2001/01/07,13500,6490,24235,24131,15898,2000,11895,8600,0
2001/01/08,13800,6590,31160,19008,15898,3190,12045,8130,0
2001/01/09,14800,6780,15707,26696,17180,3190,12045,7155,0
2001/01/10,15200,6680,24736,17667,17777,3972,11348,7005,0
2001/01/11,15700,6110,19872,20667,18461,4359,11171,6805,1502
2001/01/12,14400,6300,15777,19087,19321,4359,11171,6805,2210
2001/01/13,14700,6110,12075,17495,21717,4319,11498,6190,2637
2001/01/14,14100,6400,19873,17435,21717,6524,11498,5750,3164
2001/01/15,14100,6110,15777,15763,21717,5069,11498,5750,3534
2001/01/16,13700,6020,19873,16622,22587,5657,17130,5750,3648
2001/01/17,13400,5710,11708,16647,22587,5657,17136,6060,3648
2001/01/18,12700,6780,16980,14954,19386,4976,17136,8535,3637
2001/01/19,12100,4720,19873,17534,17773,4276,18602,10800,3152
2001/01/20,11700,6060,15777,16788,17138,4276,18797,11363,3002
2001/01/21,12100,7070,16980,18065,17687,4276,19142,12191,2706
2001/01/22,12100,5930,12075,16511,18435,4276,19472,13873,2910
2001/01/23,12400,5360,19873,16757,18435,7873,21970,14087,2901
2001/01/24,12600,4960,15777,16828,19256,10275,21040,14721,2801
2001/01/25,13800,4640,16980,16896,19324,7378,21764,14340,2511
2001/01/26,14300,4640,12075,19167,18648,4976,21764,13995,2506
2001/01/27,14800,5260,15577,19167,18445,4976,24006,14722,2508
2001/01/28,14500,4880,19873,29846,19604,2758,23010,14772,2427
2001/01/29,13500,4120,11708,24557,21844,1964,23010,15095,2417
2001/01/30,12800,4560,13563,26777,21844,1964,23010,15315,2318
2001/01/31,12300,5060,12075,27258,38275,1582,20592,15015,2303
2001/02/01,11600,5360,13563,30016,32810,1200,20056,15055,2303
2001/02/02,11400,4400,13563,42334,33917,1200,20056,15432,2593
2001/02/03,11400,4480,15777,41000,31037,1828,11024,157120,2843
2001/02/04,11000,4640,16980,41000,30462,1415,17959,15255,2992
2001/02/05,10900,4880,13563,38777,30283,1415,22229,15095,3067
2001/02/06,10900,4800,15777,38777,30283,1828,22227,14794,3089
2001/02/07,10700,4320,15257,37488,30283,4900,21226,16007,3056
2001/02/08,10400,4180,30860,38981,29840,2922,20303,16180,3062
2001/02/09,10100,3310,23671,39709,31039,2922,19188,16120,2703
2001/02/10,10100,2080,28990,43304,31039,2746,19188,15792,2553
2001/02/11,10000,1970,28457,40021,31039,2746,20464,15777,2353
2001/02/12,11600,1850,32974,34795,31039,2195,20464,15777,2112
2001/02/13,12400,2080,31038,35781,31668,2195,20464,15777,2005
2001/02/14,12900,2220,28454,35988,30889,2746,22455,16177,1915
2001/02/15,13700,1500,32974,30050,30889,2746,22455,16827,1845
2001/02/16,14400,1850,31038,31037,29718,2746,22455,17725,1835
2001/02/17,14600,1680,28497,37577,29033,2746,22455,17605,1760
2001/02/18,14700,1740,32974,31968,25841,2746,21725,17605,1670
2001/02/19,14700,1970,28457,31343,24666,2746,22466,17605,1639
2001/02/20,14800,1210,31038,29459,23476,2195,20398,18350,1627
2001/02/21,15000,2080,28457,31968,23572,1898,20398,18350,1654
2001/02/22,15500,1940,28497,32860,23938,1500,20398,18350,1693
2001/02/23,16400,1970,32974,30751,23938,1500,20398,17870,1705
2001/02/24,17400,2000,28457,27588,23396,1500,19783,17870,1745
2001/02/25,17600,2650,32974,32509,23396,1500,19783,17520,1895
2001/02/26,18000,2720,31038,28994,23309,1500,19783,16785,1922
2001/02/27,18300,2340,28457,29070,24124,1500,18478,15354,1922
2001/02/28,18500,2250,32974,33136,24124,1500,19683,14727,1868
2001/03/01,16900,1940,33585,30020,24266,1500,17973,15020,1803
2001/03/02,14800,1210,30038,32364,24266,1500,17973,15120,1805
2001/03/03,12800,1790,20942,26067,24266,1500,17973,14820,1779
2001/03/04,12000,2020,25680,25672,22144,1500,19245,14820,1765
2001/03/05,11600,2030,20286,26512,22144,1500,20423,15040,1715
2001/03/06,11900,2080,14370,28734,21554,1500,20423,15240,1670
2001/03/07,11900,2030,22773,26511,20964,1500,21076,15590,1590
2001/03/08,13300,2540,20286,17076,20964,1500,20423,16098,1565
